name,external_slug,rarity,source_rarity,token_year,tokendb_source,in_standard_set,classification,slot,converts_to,convert_units
Scroll Fire Knife,scroll-fire-knife,Uncommon,Uncommon,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scroll Healing Radiance,scroll-healing-radiance,Rare,Rare,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,6
Scroll Light Lance,scroll-light-lance,Rare,Rare,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,6
Scroll St. Fokee's Fury,scroll-st-fokees-fury,Common,Common,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Scroll St. Gubb's Ire,scroll-st-gubbs-ire,Common,Common,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Scroll St. Hopp's Hope,scroll-st-hopps-hope,Common,Common,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,1
Scroll St. Stern's Blessing,scroll-st-sterns-blessing,Uncommon,Uncommon,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scroll Storm Strike,scroll-storm-strike,Uncommon,Uncommon,2026,Standard Pack,1,Scroll,slotless,Alchemist's Parchment,3
Scryer Fate Card,scryer-fate-card,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,slotless,Darkwood Plank,3
Shield of Grounding,shield-of-grounding,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Shield,Offhand,Oil of Enchantment,1
Shield of Resolve,shield-of-resolve,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Shield,Offhand,Oil of Enchantment,1
Shield of the Hardy,shield-of-the-hardy,Rare,Rare,2026,Standard Pack,1,Equippable|Shield,Offhand,Aragonite,1
Shirt of the Lycan,shirt-of-the-lycan,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Shirt,,
Signet of the Ten Saints,signet-of-the-ten-saints,Relic,Transmuted-Relic (5 pt),2026,Exchange,0,Equippable,Finger,,
Sir Andrew's Triad Armor,sir-andrews-triad-armor,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Torso (armor),,
Sir Jason's Triad Helm,sir-jasons-triad-helm,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Head,,
Spirit Spittle,spirit-spittle,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
St. Bullo's Bead,st-bullos-bead,Rare,Rare,2026,Standard Pack,1,Equippable,Bead,Darkwood Plank,6
St. Bullo's Ring,st-bullos-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Bullo's Signet,st-bullos-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Fleck's Favorite Ring,st-flecks-favorite-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Fleck's Fire Bolt,st-flecks-fire-bolt,Common,Common,2026,Standard Pack,1,Ammunition,slotless,Enchanter's Munition,1
St. Fleck's Inferno Bolt,st-flecks-inferno-bolt,Rare,Rare,2026,Standard Pack,1,Ammunition,slotless,Enchanter's Munition,6
St. Fleck's Lycan Charm,st-flecks-lycan-charm,Common,Common,2026,Standard Pack,1,Equippable,Charm,Darkwood Plank,1
St. Fleck's Signet,st-flecks-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Fokee's Fastidious Ring,st-fokees-fastidious-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Fokee's Signet,st-fokees-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Gubb's Gorget,st-gubbs-gorget,Ultra Rare,Ultra Rare,2026,Standard Pack,0,Equippable,Neck,,
St. Gubb's Signet,st-gubbs-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Gubb's Surging Ring,st-gubbs-surging-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Hopp's Null Ring,st-hopps-null-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Hopp's Signet,st-hopps-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Lorca's Bracers,st-lorcas-bracers,Common,Common,2026,Standard Pack,1,Equippable,Wrist,Mystic Silk,1
St. Lorca's Dust,st-lorcas-dust,Common,Common,2026,Standard Pack,1,Dust,slotless,Darkwood Plank,1
St. Lorca's Signet,st-lorcas-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Raya's Locket,st-rayas-locket,Common,Common,2026,Standard Pack,1,Equippable,Neck,Philosopher's Stone,6
St. Raya's Radiant Ring,st-rayas-radiant-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Raya's Signet,st-rayas-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Sola's Earcuff,st-solas-earcuff,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Ear,Philosopher's Stone,3
St. Sola's Siren Ring,st-solas-siren-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Stern's Amulet of Aid,st-sterns-amulet-of-aid,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Neck,Philosopher's Stone,3
St. Stern's Righteous Ring,st-sterns-righteous-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Stern's Signet,st-sterns-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Stern's Spectacles,st-sterns-spectacles,Common,Common,2026,Standard Pack,1,Equippable,Eyes,Darkwood Plank,3
St. Valla's Boots,st-vallas-boots,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Feet,Mystic Silk,3
St. Valla's Hearth Ring,st-vallas-hearth-ring,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,3
St. Valla's Ring,st-vallas-ring,Common,Common,2026,Standard Pack,1,Equippable,Finger,Philosopher's Stone,1
St. Valla's Signet,st-vallas-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
St. Wilton's Charm,st-wiltons-charm,Uncommon,Uncommon,2026,Standard Pack,1,Equippable,Charm,Darkwood Plank,3
St. Wilton's Signet,st-wiltons-signet,Rare,Rare,2026,Appreciation,0,Equippable,Finger,Philosopher's Stone,6
Sun Fate Card,sun-fate-card,Rare,Rare,2026,Appreciation,0,Equippable,slotless,Darkwood Plank,6
Thunder Bolt,thunder-bolt,Uncommon,Uncommon,2026,Standard Pack,1,Ammunition,slotless,Enchanter's Munition,3
Treasure Chip,treasure-chip,,Special,2026,Dungeon Only,0,none,slotless,,
Trinket of the Lycan,trinket-of-the-lycan,Rare,Rare,2026,Standard Pack,1,Equippable|No Party Card Effect,slotless,Darkwood Plank,6
Underling Artificer,underling-artificer,Safehold,Safehold,2026,Appreciation,0,Equippable,Underling,,
Val's +4 Keen Fellbane Crossbow,vals-4-keen-fellbane-crossbow,Legendary,Transmuted-Legendary,2026,Exchange,0,Equippable|Timeless|Weapon,Mainhand,,
Vampire Dust,vampire-dust,Monster Trophy,Quest,2026,Treasure Chest Only,0,Monster Trophy,slotless,Golden Fleece,1
Villager Pitchfork,villager-pitchfork,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Villager Scythe,villager-scythe,Uncommon,Uncommon,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Elven Bismuth,1
Villager Torch,villager-torch,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Vonami Morning Star,vonami-morning-star,Common,Common,2026,Standard Pack,1,Equippable|Weapon,Mainhand,Dwarven Steel,1
Wolf Fate Card,wolf-fate-card,Rare,Rare,2026,Appreciation,0,Equippable,slotless,Darkwood Plank,6
Wooden Stake,wooden-stake,Ultra Rare,Ultra Rare,2026,Appreciation,0,Equippable|Weapon,Mainhand,,
